"","CODE","COUNTRY","n"
"1","ABW","Aruba",NA
"2","AFG","Afghanistan",NA
"3","AGO","Angola",NA
"4","AIA","Anguilla",NA
"5","ALB","Albania",2
"6","AND","Andorra",NA
"7","ARE","United Arab Emirates",1
"8","ARG","Argentina",17
"9","ARM","Armenia",NA
"10","ASM","American Samoa",NA
"11","ATG","Antigua and Barbuda",NA
"12","AUS","Australia",89
"13","AUT","Austria",8
"14","AZE","Azerbaijan",NA
"15","BDI","Burundi",NA
"16","BEL","Belgium",10
"17","BEN","Benin",NA
"18","BFA","Burkina Faso",NA
"19","BGD","Bangladesh",NA
"20","BGR","Bulgaria",1
"21","BHM","Bahamas, The",NA
"22","BHR","Bahrain",1
"23","BIH","Bosnia and Herzegovina",NA
"24","BLR","Belarus",NA
"25","BLZ","Belize",NA
"26","BMU","Bermuda",NA
"27","BOL","Bolivia",NA
"28","BRA","Brazil",31
"29","BRB","Barbados",1
"30","BRN","Brunei",NA
"31","BTN","Bhutan",NA
"32","BWA","Botswana",NA
"33","CAF","Central African Republic",NA
"34","CAN","Canada",165
"35","CHE","Switzerland",3
"36","CHL","Chile",5
"37","CHN","China",12
"38","CIV","Cote d'Ivoire",NA
"39","CMR","Cameroon",2
"40","COD","Congo, Democratic Republic of the",NA
"41","COG","Congo, Republic of the",NA
"42","COK","Cook Islands",NA
"43","COL","Colombia",14
"44","COM","Comoros",NA
"45","CPV","Cabo Verde",NA
"46","CRI","Costa Rica",1
"47","CUB","Cuba",7
"48","CUW","Curacao",NA
"49","CYM","Cayman Islands",NA
"50","CYP","Cyprus",NA
"51","CZE","Czech Republic",1
"52","DEU","Germany",46
"53","DJI","Djibouti",NA
"54","DMA","Dominica",6
"55","DNK","Denmark",10
"56","DOM","Dominican Republic",NA
"57","DZA","Algeria",2
"58","ECU","Ecuador",NA
"59","EGY","Egypt",4
"60","ERI","Eritrea",1
"61","ESP","Spain",43
"62","EST","Estonia",NA
"63","ETH","Ethiopia",NA
"64","FIN","Finland",4
